上位のページ,クリック数,表示回数,CTR,掲載順位
https://www.dearmanga.com/sci-fi/asadora,2,51,3.92%,10.73
https://www.dearmanga.com/action/trigun-maximum,2,44,4.55%,13.5
https://www.dearmanga.com/romance/smoking-behind-supermarket,2,26,7.69%,8.92
https://www.dearmanga.com/action/kindaichi-37,2,16,12.5%,11
https://www.dearmanga.com/horror/fragments-of-horror,2,5,40%,20
https://www.dearmanga.com/horror/goodnight-punpun,1,121,0.83%,12.45
https://www.dearmanga.com/horror/higanjima,1,65,1.54%,10.26
https://www.dearmanga.com/romance/i-love-yoo,1,48,2.08%,29.92
https://www.dearmanga.com/sports/mountaineering-girl,1,42,2.38%,10.05
https://www.dearmanga.com/slice-of-life/shimeji-simulation,1,40,2.5%,10.82
https://www.dearmanga.com/sci-fi/mujirushi,1,15,6.67%,8.87
https://www.dearmanga.com/historical/asaki-yumemishi,1,14,7.14%,9.07
https://www.dearmanga.com/action/kurenai,1,11,9.09%,6.91
https://www.dearmanga.com/horror/helter-skelter,1,10,10%,35
https://www.dearmanga.com/romance/time-stranger-kyoko,1,9,11.11%,5.89
https://www.dearmanga.com/sci-fi/ghost-in-the-shell-2,1,9,11.11%,12.44
https://www.dearmanga.com/romance/st-dragon-girl,1,7,14.29%,6.86
https://www.dearmanga.com/slice-of-life/dame-oyaji,1,7,14.29%,10.14
https://www.dearmanga.com/romance/water-flows-to-the-sea,1,6,16.67%,6.17
https://www.dearmanga.com/romance/senryu-girl,1,6,16.67%,17.67
https://www.dearmanga.com/fantasy/tales-of-zestiria-manga,1,6,16.67%,21.17
https://www.dearmanga.com/slice-of-life/kill-me-baby,1,4,25%,30.75
https://www.dearmanga.com/action/ron-kamonohashi,0,2356,0%,9.58
https://www.dearmanga.com/horror/highschool-of-the-dead,0,139,0%,10.93
https://www.dearmanga.com/slice-of-life/black-jack,0,133,0%,8.98
https://www.dearmanga.com/sports/ao-ashi,0,129,0%,11.02
https://www.dearmanga.com/action/moriarty-the-patriot,0,109,0%,13.39
https://www.dearmanga.com/sports/touch,0,106,0%,8.98
https://www.dearmanga.com/action/usogui,0,87,0%,12.1
https://www.dearmanga.com/horror/umineko,0,76,0%,10.07
https://www.dearmanga.com/action/qed,0,71,0%,5.7
https://www.dearmanga.com/sports/holyland,0,70,0%,6.69
https://www.dearmanga.com/sci-fi/86-eighty-six,0,57,0%,9.65
https://www.dearmanga.com/romance/my-id-is-gangnam-beauty,0,55,0%,29.96
https://www.dearmanga.com/sci-fi/gundam-seed,0,53,0%,25.91
https://www.dearmanga.com/slice-of-life/kazoku-game,0,49,0%,6.47
https://www.dearmanga.com/action/omniscient-readers-viewpoint,0,49,0%,33.1
https://www.dearmanga.com/slice-of-life/my-roommate-is-a-cat,0,48,0%,10.25
https://www.dearmanga.com/action/magic-kaito,0,47,0%,16.68
https://www.dearmanga.com/romance/saint-tail,0,42,0%,8.62
https://www.dearmanga.com/slice-of-life/odd-taxi,0,41,0%,14.44
https://www.dearmanga.com/horror/gannibal,0,40,0%,12.28
https://www.dearmanga.com/sci-fi/getter-robo,0,40,0%,32.05
https://www.dearmanga.com/romance/loveless,0,39,0%,8.72
https://www.dearmanga.com/fantasy/sao-progressive,0,39,0%,28.85
https://www.dearmanga.com/sci-fi/real-account,0,38,0%,6.37
https://www.dearmanga.com/action/dont-call-it-mystery,0,38,0%,12.29
https://www.dearmanga.com/romance/vampire-knight-memories,0,38,0%,12.82
https://www.dearmanga.com/slice-of-life/disappearance-diary,0,36,0%,6.42
https://www.dearmanga.com/sports/ganbare-genki,0,35,0%,6.46
https://www.dearmanga.com/slice-of-life/say-hello-to-black-jack,0,35,0%,7.11
https://www.dearmanga.com/romance/taisho-otome,0,35,0%,11.37
https://www.dearmanga.com/sci-fi/serial-experiments-lain,0,34,0%,24.82
https://www.dearmanga.com/action/lycoris-recoil,0,32,0%,12.38
https://www.dearmanga.com/action/tetsujin-28-go,0,32,0%,16.28
https://www.dearmanga.com/horror/angels-of-death,0,30,0%,13.77
https://www.dearmanga.com/action/katanagatari,0,29,0%,29.34
https://www.dearmanga.com/romance/cornered-mouse-dreams-of-cheese,0,28,0%,8.29
https://www.dearmanga.com/action/harenchi-gakuen,0,28,0%,9.14
https://www.dearmanga.com/sports/h2-manga,0,28,0%,12.36
https://www.dearmanga.com/romance/finder-series,0,27,0%,5.15
